,0,1,2,3,4,5
43,,,Milton Campbell,(44.6),15.05.76,USA
44,,,Jerome Young,(43.9),14.08.76,USA
45,10.0,2:58.60,United States - Red,,Philadelphia,28.04.2001
46,,,Leonard Byrd,(45.4),17.03.75,USA
47,,,Angelo Taylor,(44.2),29.12.78,USA
48,,,Jerome Young,(44.8),14.08.76,USA
49,,,Michael Johnson,(44.2),13.09.67,USA
50,11.0,2:58.78,United States,s1,Sydney,29.09.2000
51,,,Jerome Young,(45.23),14.08.76,USA
52,,,Angelo Taylor,(44.17),29.12.78,USA
53,,,Calvin Harrison,(43.56),20.01.74,USA
54,,,Alvin Harrison,(45.82),20.01.74,USA
55,12.0,2:58.88,United States,,Saint-Denis,31.08.2003
56,,,Calvin Harrison,(45.2),20.01.74,USA
57,,,Tyree Washington,(44.6),28.08.76,USA
58,,,Derrick Brew,(44.75),28.12.77,USA
59,,,Jerome Young,(44.31),14.08.76,USA
60,13.0,2:58.93,United States - Red,rA,Philadelphia,24.04.2004
61,,,Calvin Harrison,(45.4),20.01.74,USA
62,,,Alvin Harrison,(44.5),20.01.74,USA
63,,,Jerome Young,(44.6),14.08.76,USA
64,,,Tyree Washington,(44.4),28.08.76,USA
65,14.0,2:59.21,United States,,Madrid,21.09.2002
66,,,James Carter,(45.5),07.05.78,USA
67,,,Leonard Byrd,(44.3),17.03.75,USA
68,,,Godfrey Herring,(45.30),18.05.78,USA
