,index,url,event,mark,event type,sex
100,3,http://www.alltime-athletics.com/w_200no.htm,200 metres,non-legal,standard,women
101,4,http://www.alltime-athletics.com/w_400ok.htm,400 metres,legal,standard,women
102,5,http://www.alltime-athletics.com/w_800ok.htm,800 metres,legal,standard,women
103,6,http://www.alltime-athletics.com/w_400no.htm,400 metres,non-legal,standard,women
104,7,http://www.alltime-athletics.com/w_800no.htm,800 metres,non-legal,standard,women
105,8,http://www.alltime-athletics.com/w_1500ok.htm,1500 metres,legal,standard,women
106,9,http://www.alltime-athletics.com/w_mileok.htm,1 Mile,legal,standard,women
107,10,http://www.alltime-athletics.com/w_1500no.htm,1500 metres,non-legal,standard,women
108,11,http://www.alltime-athletics.com/w_mileno.htm,1 Mile,non-legal,standard,women
109,12,http://www.alltime-athletics.com/w_3000ok.htm,3000 metres,legal,standard,women
110,13,http://www.alltime-athletics.com/w_3000no.htm,3000 metres,non-legal,standard,women
111,14,http://www.alltime-athletics.com/w_5000ok.htm,5000 metres,legal,standard,women
112,15,http://www.alltime-athletics.com/w_10kok.htm,10000 metres,legal,standard,women
113,16,http://www.alltime-athletics.com/w_5000no.htm,5000 metres,non-legal,standard,women
114,17,http://www.alltime-athletics.com/w_10kno.htm,10000 metres,non-legal,standard,women
115,18,http://www.alltime-athletics.com/whmaraok.htm,half-marathon,legal,standard,women
116,19,http://www.alltime-athletics.com/wmaraok.htm,marathon,legal,standard,women
117,20,http://www.alltime-athletics.com/whmarano.htm,half-marathon,non-legal,standard,women
118,21,http://www.alltime-athletics.com/wmarano.htm,marathon,non-legal,standard,women
119,22,http://www.alltime-athletics.com/w3000hok.htm,3000m steeplechase,legal,standard,women
120,23,http://www.alltime-athletics.com/w3000hno.htm,3000m steeplechase,non-legal,standard,women
121,24,http://www.alltime-athletics.com/w_100hok.htm,100m hurdles,legal,standard,women
122,25,http://www.alltime-athletics.com/w_400hok.htm,400m hurdles,legal,standard,women
123,26,http://www.alltime-athletics.com/w_100hno.htm,100m hurdles,non-legal,standard,women
124,27,http://www.alltime-athletics.com/w_400hno.htm,400m hurdles,non-legal,standard,women
125,28,http://www.alltime-athletics.com/w4x100ok.htm,4x100m relay,legal,standard,women
126,29,http://www.alltime-athletics.com/w4x100no.htm,4x100m relay,non-legal,standard,women
127,30,http://www.alltime-athletics.com/w4x400ok.htm,4x400m relay,legal,standard,women
128,31,http://www.alltime-athletics.com/w4x400no.htm,4x400m relay,non-legal,standard,women
129,32,http://www.alltime-athletics.com/whighok.htm,High jump,legal,standard,women
130,33,http://www.alltime-athletics.com/wpoleok.htm,Pole vault,legal,standard,women
131,34,http://www.alltime-athletics.com/whighno.htm,High jump,non-legal,standard,women
132,35,http://www.alltime-athletics.com/wpoleno.htm,Pole vault,non-legal,standard,women
133,36,http://www.alltime-athletics.com/wlongok.htm,Long jump,legal,standard,women
134,37,http://www.alltime-athletics.com/wtripleok.htm,Triple jump,legal,standard,women
135,38,http://www.alltime-athletics.com/wlongno.htm,Long jump,non-legal,standard,women
136,39,http://www.alltime-athletics.com/wtripleno.htm,Triple jump,non-legal,standard,women
137,40,http://www.alltime-athletics.com/wshotok.htm,Shot put,legal,standard,women
138,41,http://www.alltime-athletics.com/wdiscok.htm,Discus throw,legal,standard,women
139,42,http://www.alltime-athletics.com/wshotno.htm,Shot put,non-legal,standard,women
140,43,http://www.alltime-athletics.com/wdiscno.htm,Discus throw,non-legal,standard,women
141,44,http://www.alltime-athletics.com/whammok.htm,Hammer throw,legal,standard,women
142,45,http://www.alltime-athletics.com/whammno.htm,Hammer throw,non-legal,standard,women
143,46,http://www.alltime-athletics.com/wjaveok.htm,Javelin throw,legal,standard,women
144,47,http://www.alltime-athletics.com/wjaveoldok.htm,Old specs,legal,standard,women
145,48,http://www.alltime-athletics.com/wjaveno.htm,Javelin throw,non-legal,standard,women
146,49,http://www.alltime-athletics.com/wjaveoldno.htm,Old specs,non-legal,standard,women
147,50,http://www.alltime-athletics.com/whepaok.htm,Heptathlon,legal,standard,women
148,51,http://www.alltime-athletics.com/whepano.htm,Heptathlon,non-legal,standard,women
149,52,http://www.alltime-athletics.com/w20kwok.htm,20 km race walk,legal,standard,women
150,53,http://www.alltime-athletics.com/w20kwno.htm,20 km race walk,non-legal,standard,women
151,54,http://www.alltime-athletics.com/w50kwok.htm,50 km race walk,legal,standard,women
152,55,http://www.alltime-athletics.com/w60mok.htm,60 metres,legal,special,women
153,56,http://www.alltime-athletics.com/w60mno.htm,60 metres,non-legal,special,women
154,57,http://www.alltime-athletics.com/w_300ok.htm,300 metres,legal,special,women
155,58,http://www.alltime-athletics.com/w_600ok.htm,600 metres,legal,special,women
156,59,http://www.alltime-athletics.com/w_300no.htm,300 metres,non-legal,special,women
157,60,http://www.alltime-athletics.com/w_1000ok.htm,1000 metres,legal,special,women
158,61,http://www.alltime-athletics.com/w_2000ok.htm,2000 metres,legal,special,women
159,62,http://www.alltime-athletics.com/w_1000no.htm,1000 metres,non-legal,special,women
160,63,http://www.alltime-athletics.com/w_2000no.htm,2000 metres,non-legal,special,women
161,64,http://www.alltime-athletics.com/w2milesok.htm,2 Miles,legal,special,women
162,65,http://www.alltime-athletics.com/w10kroad.htm,10km road,legal,special,women
163,66,http://www.alltime-athletics.com/w15kroad.htm,15km road,legal,special,women
164,67,http://www.alltime-athletics.com/w10kroadno.htm,10km road,non-legal,special,women
165,68,http://www.alltime-athletics.com/w15kroadno.htm,15km road,non-legal,special,women
166,69,http://www.alltime-athletics.com/w10milesroad.htm,10 miles road,legal,special,women
167,70,http://www.alltime-athletics.com/w20kroad.htm,20km road,legal,special,women
168,71,http://www.alltime-athletics.com/w30kroad.htm,30km road,legal,special,women
169,72,http://www.alltime-athletics.com/w20kroadno.htm,20km road,non-legal,special,women
170,73,http://www.alltime-athletics.com/w30kroadno.htm,30km road,non-legal,special,women
171,74,http://www.alltime-athletics.com/w2000hok.htm,2000m steeplechase,legal,special,women
172,75,http://www.alltime-athletics.com/w2000hno.htm,2000m steeplechase,non-legal,special,women
173,76,http://www.alltime-athletics.com/w_60mhok.htm,60m hurdles,legal,special,women
174,77,http://www.alltime-athletics.com/w_60mhno.htm,60m hurdles,non-legal,special,women
175,78,http://www.alltime-athletics.com/w4x800ok.htm,4x800m relay,legal,special,women
176,79,http://www.alltime-athletics.com/w4x1500ok.htm,4x1500m relay,legal,special,women
177,80,http://www.alltime-athletics.com/w4x800no.htm,4x800m relay,non-legal,special,women
178,81,http://www.alltime-athletics.com/w5kwok.htm,5000 metres track walk,legal,special,women
179,82,http://www.alltime-athletics.com/w5kwno.htm,5000 metres track walk,non-legal,special,women
180,83,http://www.alltime-athletics.com/w10kwok.htm,10 km race walk,legal,special,women
181,84,http://www.alltime-athletics.com/w10kwno.htm,10 km race walk,non-legal,special,women
