,0,1,2,3,4,5,6
173,17,21.4,Tomas Walsh,NZL,01.03.92,Portland,18.03.2016
174,17,21.4,Ryan Crouser,USA,18.12.92,Fayetteville,31.01.2021
175,17,21.4,Josh Awotunde,USA,12.06.95,Louisville,12.02.2022
176,17,21.39,Brian Oldfield,USA,01.06.45,Salt Lake City,21.02.1975
177,17,21.39,Ryan Crouser,USA,18.12.92,New York City,09.02.2019
178,17,21.39,Nick Ponzio,ITA,04.01.95,Torun,22.02.2022
179,17,21.39,Josh Awotunde,USA,12.06.95,Spokane,27.02.2022
180,17,21.39,Adrian Piperi,USA,20.01.99,Birmingham AL,12.03.2022
181,18,21.38,Ulf Timmermann,GER,01.11.62,Piræus,03.03.1985
182,18,21.38,Ulf Timmermann,GER,01.11.62,Berlin,21.01.1989
183,18,21.38,Ulf Timmermann,GER,01.11.62,Torino,22.02.1989
184,18,21.38,Reese Hoffa,USA,08.10.77,Albuquerque,26.02.2012
185,18,21.38,Ryan Crouser,USA,18.12.92,New York City,23.02.2019
186,18,21.38,Filip Mihaljevic,CRO,31.07.94,Madrid,21.02.2020
187,18,21.38,Filip Mihaljevic,CRO,31.07.94,Beograd,27.02.2020
188,18,21.38,Joseph Kovacs,USA,28.06.89,Geneva,13.02.2021
189,19,21.37,Randy Barnes,USA,16.06.66,Los Angeles,20.01.1989
190,19,21.37,Ulf Timmermann,GER,01.11.62,Den Haag,18.02.1989
191,19,21.37,Werner Günthör,SUI,01.06.61,Wien,14.02.1991
192,19,21.37,Filip Mihaljevic,CRO,31.07.94,Düsseldorf,04.02.2020
193,19,21.37,Adrian Piperi,USA,20.01.99,Ames,26.02.2022
194,19,21.36,Mike Stulce,USA,14.07.69,Los Angeles,20.02.1993
195,19,21.36,Mikulas Konopka,SVK,23.01.79,Birmingham,02.03.2007
196,19,21.36,Christian Cantwell,USA,30.09.80,New York City,29.01.2010
197,19,21.36,Ryan Whiting,USA,24.11.86,Lawrence,17.04.2013
198,19,21.36,Tomás Stanek,CZE,13.06.91,Ostrava,25.01.2018
199,20,21.35,Werner Günthör,SUI,01.06.61,Liévin,21.02.1987
200,20,21.35,Alessandro Andrei,ITA,03.01.59,Torino,28.02.1987
201,20,21.35,Alessandro Andrei,ITA,03.01.59,Torino,28.02.1987
202,20,21.35,Mike Stulce,USA,14.07.69,Los Angeles,20.02.1993
203,20,21.35,Adam Nelson,USA,07.07.75,Blacksburg,08.03.2008
204,20,21.35,Dylan Armstrong,CAN,15.01.81,Zürich,07.09.2011
205,20,21.35,David Storl,GER,27.07.90,Sopot,07.03.2014
206,20,21.34,Randy Barnes,USA,16.06.66,Houston,28.01.1989
207,20,21.34,Werner Günthör,SUI,01.06.61,Wien,14.02.1991
208,20,21.34,Joachim Olsen,DEN,31.05.77,Malmö,26.02.2006
209,20,21.34,Ryan Crouser,USA,18.12.92,New York City,09.02.2019
210,20,21.34,Filip Mihaljevic,CRO,31.07.94,Madrid,21.02.2020
211,20,21.34,Filip Mihaljevic,CRO,31.07.94,Torun,22.02.2022
212,20,21.34,Zane Weir,ITA,07.09.95,Beograd,19.03.2022
213,21,21.33,Remigius Machura,CZE,03.07.60,Jablonec nad Ni,10.02.1985
214,21,21.33,Werner Günthör,SUI,01.06.61,Magglingen,24.02.1991
215,21,21.33,John Godina,USA,31.05.72,Boston,26.02.2005
216,21,21.33,Ryan Whiting,USA,24.11.86,Albuquerque,23.02.2014
