,0,1,2,3,4,5
146,,,Robert Leborgne,(3:43.8),24.04.47,FRA
147,,,Jean-Pierre Dufresne,(3:43.6),16.06.45,FRA
148,,,Raymond Zembri,(3:43.4),26.12.48,FRA
149,,,Jacques Boxberger,(3:43.0),06.04.49,FRA
150,31.0,14:54.3A,Kenya - A,1r1,Nairobi,22.03.2014
151,,,Collins Cheboi,,25.09.87,KEN
152,,,Zablon Chumba,,20.12.91,KEN
153,,,Bernard Kipkorir Koros,,07.05.94,KEN
154,,,Caleb Ndiku,,09.10.92,KEN
155,32.0,14:54.5A,Kenya -B,2,Nairobi,04.04.2014
156,,,Caleb Ndiku,,09.10.92,KEN
157,,,Hillary Maiyo,,02.10.93,KEN
158,,,Vincent Kibet,,06.05.91,KEN
159,,,Vincent Letting,,16.06.93,KEN
160,33.0,14:54.57,Emgland,5,Bruxelles,04.09.2009
161,,,Andrew Baddeley,(3:39.0),20.06.82,GBR
162,,,Ricky Stevenson,(3:43.3),14.11.88,GBR
163,,,Nick McCormick,(3:44.7),11.09.81,GBR
164,,,Mark Draper,(3:47.6),28.06.84,GBR
165,34.0,14:54.77,Kenya - A,1,Nairobi,26.04.2014
166,,,James Magut,??,20.07.90,KEN
167,,,Collins Cheboi,??,25.09.87,KEN
168,,,Silas Kiplagat,??,20.08.89,KEN
169,,,Asbel Kiprop,??,30.06.89,KEN
170,35.0,14:54.84,University of Arkansas,1,Philadelp,28.04.1990
171,,,Gilbert Contreras,(3:47.1),23.09.69,USA
172,,,Eric Henry,(3:42.1),27.08.68,USA
173,,,Johan Boakes,(3:41.9),12.04.68,GBR
174,,,Ruben Reina,(3:43.5),16.11.67,USA
175,36.0,14:54.86,Kenya - B,2,Nairobi,26.04.2014
176,,,Hillary Maiyo,,02.10.93,KEN
177,,,Nixon Chepseba,,12.12.90,KEN
178,,,Caleb Ndiku,,09.10.92,KEN
179,,,Vincent Letting,,16.06.93,KEN
180,37.0,14:55.31,University of Arkansas,1,Philadelp,26.04.1986
181,,,Keith Iovine,(3:48.6),10.01.63,USA
182,,,Gary Taylor,(3:46.2),01.06.63,GBR
183,,,Espen Borge,(3:45.7),08.09.61,NOR
184,,,Doug Consiglio,(3:44.9),10.01.64,CAN
185,38.0,14:56.8a,"British Milers Club, GBR",3,Bourges,23.06.1979
186,,,Alan Mottershead,(3:45.0),16.05.55,GBR
187,,,Geoffrey Cooper,(3:44.5),16.03.59,GBR
188,,,Steve Emson,(3:42.7),05.11.56,GBR
189,,,Roy Wood,(3:44.6),04.02.60,GBR
190,39.0,14:57.1A,Kenya - B,2r1,Nairobi,22.03.2014
191,,,Hillary Kipsang Yego,,02.04.92,KEN
192,,,Johnstone Simotwo,,89,KEN
193,,,Fredrick Korir,,17.04.87,KEN
194,,,Stanley Kipkemoi,,,KEN
195,40.0,14:57.87,University of Arkansas,1,Philadelp,30.04.1988
196,,,Eric Henry,(3:47.5),27.08.68,USA
197,,,Ruben Reina,(3:48.0),16.11.67,USA
198,,,Matt Taylor,(3:43.5),01.05.65,USA
199,,,Joe Falcon,(3:38.9),23.06.66,USA
200,41.0,14:58.0,German Democratic Republic,1,Potsdam,23.07.1963
201,,,Manfred Matuschewski,(3:44.0),02.09.39,GDR
202,,,Jürgen May,(3:44.5),18.06.42,FRG
203,,,Siegfried Herrmann,(3:44.1),07.11.32,GDR
204,,,Siegfried Valentin,(3:44.4),23.02.36,GDR
205,42.0,14:58.62,Georgetown University,2,Philadelp,30.04.1988
206,,,Ethan Frey,(3:48.5),21.08.69,USA
207,,,James Grelle,(3:43.6),23.02.66,USA
208,,,John Trautmann,(3:46.7),29.06.68,USA
209,,,Mike Stahr,(3:39.8),09.12.64,USA
210,43.0,14:58.72,Pennsylvania State Universi,2,Philadelp,26.04.1986
211,,,Bill Hudson,(3:46.2),30.09.66,USA
212,,,Mark Overheim,(3:42.2),,USA
