,0,1,2,3,4,5
191,,,Lindel Frater,,13.11.77,JAM
192,,,Ricardo Williams,,29.09.76,JAM
193,,,Darvis Patton,,04.12.77,USA
194,,,Kim Collins,,05.04.76,SKN
195,40.0,1:20.4,Santa Monica Track Club,1,Houston,25.03.1989
196,,,Joe DeLoach,,05.06.67,USA
197,,,Floyd Heard,,24.03.66,USA
198,,,Mark Witherspoon,,03.09.63,USA
199,,,Carl Lewis,,01.07.61,USA
200,41.0,1:20.42,Octagon,1,Austin,07.04.2001
201,,,Shawn Crawford,,14.01.78,USA
202,,,Obadele Thompson,,30.03.76,BAR
203,,,Darren Campbell,,12.09.73,GBR
204,,,Rohsaan Griffin,,21.02.74,USA
205,41.0,1:20.42,Republic of South Africa,2,Yokohama,12.05.2019
206,,,Simon Magakwe,,14.05.86,RSA
207,,,Chederick van Wyk,,18.02.95,RSA
208,,,Sinesipho Dambile,,02.03.02,RSA
209,,,Akani Simbine,,21.09.93,RSA
210,43.0,1:20.43,Santa Monica Track Club -,1,Hengelo,13.08.1989
211,,,Joe DeLoach,,05.06.67,USA
212,,,Leroy Burrell,,21.02.67,USA
213,,,Floyd Heard,,24.03.66,USA
214,,,Carl Lewis,,01.07.61,USA
215,44.0,1:20.44,Arizona State University,1,Tempe,04.04.1981
216,,,Greg Moore,,08.11.59,USA
217,,,Dwayne Evans,,13.10.58,USA
218,,,Howard Henley,,14.08.61,USA
219,,,Willie Jones,,06.01.60,USA
220,44.0,1:20.44,Hudson Smith International,2,Austin,07.04.2001
221,,,Chris Johnson,(21.5),28.04.82,USA
222,,,Jon Drummond,,09.09.68,USA
223,,,Bernard Williams,,19.01.78,USA
224,,,Maurice Greene,(19.2),23.07.74,USA
225,46.0,1:20.45,Louisiana State University,1,Austin,09.04.2011
226,,,Keyth Talley,,03.03.90,USA
227,,,Caleb Williams,,14.12.90,USA
228,,,Tristan Walker,,24.10.87,USA
229,,,Gabriel Mvumvure,,23.02.88,ZIM
230,47.0,1:20.51,Bud Light Track Club,1,Modesto,12.05.1984
231,,,Marty Krulee,,04.11.56,USA
232,,,James Butler,,21.06.60,USA
233,,,Mel Lattany,,10.08.59,USA
234,,,Calvin Smith,,08.01.61,USA
235,47.0,1:20.51,Saint Kitts & Nevis,2,Nassau,24.05.2014
236,,,Antoine Adams,,31.08.88,SKN
237,,,Lestrod Roland,,05.09.92,SKN
238,,,Brijesh Lawrence,,27.12.89,SKN
239,,,Allistar Clarke,,03.10.90,SKN
240,49.0,1:20.53,University of Texas El Pas,1,Des Moines,29.04.1994
241,,,Obadele Thompson,,30.03.76,BAR
242,,,Milton Mallard,,24.11.73,USA
243,,,Hayden Stephen,,09.01.72,TTO
244,,,Andrew Tynes,,13.02.72,BAH
245,50.0,1:20.54,Santa Monica Track Club,1,Walnut,22.04.1989
246,,,Joe DeLoach,,05.06.67,USA
247,,,Floyd Heard,,24.03.66,USA
248,,,Danny Everett,,01.11.66,USA
249,,,Carl Lewis,,01.07.61,USA
250,51.0,1:20.59,Texas Christian University,1,Houston,20.03.1987
251,,,Roscoe Tatum,,13.02.66,USA
252,,,Tony Allen,,21.06.67,USA
253,,,Andrew Smith,,29.01.64,JAM
254,,,Greg Sholars,,08.02.66,USA
255,52.0,1:20.6,Santa Monica Track Club,1,Modesto,09.05.1987
256,,,Cletus Clark,,20.01.62,USA
257,,,Stanley Floyd,,23.06.61,USA
258,,,Carl Lewis,,01.07.61,USA
259,,,Mark Witherspoon,,03.09.63,USA
260,52.0,1:20.60,Nike Los Angeles,1rA,Philadelphia,30.04.1994
261,,,Brian Bridgewater,,07.09.70,USA
262,,,Jason Rouser,,22.03.70,USA
263,,,Jon Drummond,,09.09.68,USA
264,,,Michael Johnson,,13.09.67,USA
265,54.0,1:20.61,Bud Light Track Club,1,Athens,24.03.1984
266,,,Ron Nelson,,,USA
267,,,Walter McCoy,,15.11.58,USA
268,,,Alonzo Babers,,31.10.61,USA
269,,,Mel Lattany,,10.08.59,USA
270,54.0,1:20.61,Texas A&M University,1,Austin,03.04.2010
271,,,Tran Howell,,27.03.88,USA
272,,,Gerald Phiri,,06.10.88,ZAM
273,,,Demetrius Pinder,,13.02.89,BAH
274,,,Curtis Mitchell,,11.03.89,USA
275,56.0,1:20.62,Louisiana State University,1,Philadelphia,30.04.2011
276,,,Riker Hylton,,13.12.88,JAM
277,,,Horatio Williams,,28.08.89,USA
278,,,Tristan Walker,,24.10.87,USA
279,,,Gabriel Mvumvure,,23.02.88,ZIM
280,57.0,1:20.63,United States - Red,2rA,Philadelphia,28.04.2001
281,,,Ramon Clay,,29.06.75,USA
282,,,Derrick Brew,,28.12.77,USA
283,,,Kenny Brokenburr,,29.10.68,USA
284,,,Terrence Trammell,,23.11.78,USA
285,58.0,1:20.64,United States,1rA,Philadelphia,25.04.2015
286,,,Joseph Morris,,04.10.89,USA
287,,,Maurice Mitchell,,22.12.89,USA
288,,,Ameer Webb,,19.03.91,USA
289,,,Wallace Spearmon,,24.12.84,USA
290,58.0,1:20.64,Republic of South Africa,1h2,Yokohama,12.05.2019
291,,,Jon Seeliger,,27.04.95,RSA
292,,,Anaso Jobodwana,,30.07.92,RSA
293,,,Sinesipho Dambile,,02.03.02,RSA
294,,,Chederick van Wyk,,18.02.95,RSA
295,60.0,1:20.66,France,3,Nassau,24.05.2014
296,,,Christophe Lemaitre,,11.06.90,FRA
297,,,Yannick Fonsat,,16.06.88,FRA
298,,,Ben Bassaw,(19.8),09.07.89,FRA
299,,,Ken Romain,(20.5),17.04.93,FRA
300,61.0,1:20.67,Texas A&M University,1h1,Philadelphia,25.04.2014
301,,,Carlyle Roudette,,06.09.91,TTO
302,,,Prezel Hardy,,01.06.92,USA
303,,,Shavez Hart,,09.06.92,BAH
304,,,Deon Lendore,,28.10.92,TTO
305,62.0,1:20.68,United States - Blue,1rA,Philadelphia,27.04.2002
306,,,Ramon Clay,,29.06.75,USA
307,,,Bernard Williams,,19.01.78,USA
308,,,Terrence Trammell,,23.11.78,USA
309,,,Maurice Greene,,23.07.74,USA
310,63.0,1:20.69,Pure Athletics,1r1,Gainesville,05.04.2014
311,,,Marvin Bracy,,15.12.93,USA
312,,,Jak Ali Harvey,,04.05.89,TUR
313,,,Gerald Phiri,,06.10.88,ZAM
314,,,Alonso Edward,,08.12.89,PAN
315,64.0,1:20.7y,University of Southern Cal,1,Los Angeles,04.03.1972
316,,,Larry Brown,(20.6y,23.03.51,USA
317,,,Edesel Garrison,(20.3y,17.08.50,USA
318,,,Willie Deckard,(20.2y,03.01.51,USA
319,,,Donald Quarrie,(19.6y,25.02.51,JAM
320,65.0,1:20.72,Gainesville All-Stars,1,Gainesville,30.03.2002
321,,,Aaron Armstrong,,14.10.77,TTO
322,,,James Hackley,,11.09.75,USA
323,,,Joshua Johnson,,10.05.76,USA
324,,,Bernard Williams,,19.01.78,USA
