,0,1,2,3,4,5,6
128,12,69.1,Kristjan Ceh,SLO,17.02.99,Birmingham,21.05.2022
129,12,69.1,Kristjan Ceh,SLO,17.02.99,Rabat,28.05.2023
130,13,69.08,Arthur Burns,USA,19.07.54,San José,25.05.1985
131,13,69.08,Luis Mariano Delís,CUB,06.12.57,Rhede,05.07.1985
132,13,69.08,Virgilijus Alekna,LTU,13.02.72,Réthymno,23.06.2004
133,13,69.08,Robert Harting,GER,18.10.84,Moskva,13.08.2013
134,13,69.08,Daniel Ståhl,SWE,27.08.92,Karlstad,31.08.2019
135,13,69.07,Róbert Fazekas,HUN,18.08.75,Nitra,24.08.2002
136,13,69.07,Daniel Ståhl,SWE,27.08.92,Norrköping,06.08.2022
137,13,69.06,Kristjan Ceh,SLO,17.02.99,Roma,09.06.2022
138,13,69.05,Gerd Kanter,EST,06.05.79,Chula Vista,28.04.2009
139,14,69.04,Wolfgang Schmidt,GER,16.01.54,Potsdam,18.08.1978
140,14,69.04,Mac Wilkins,USA,15.11.50,Modesto,17.05.1980
141,14,69.04,Daniel Ståhl,SWE,27.08.92,Helsingborg,22.05.2021
142,14,69.03,Mykolas Alekna,LTU,18.09.02,Walnut,14.05.2023
143,14,69.02,Mac Wilkins,USA,15.11.50,Eugene,31.05.1978
144,14,69.02,Kristjan Ceh,SLO,17.02.99,Eugene,19.07.2022
145,14,69.01,Daniel Ståhl,SWE,27.08.92,Tampere,05.09.2020
146,14,69.0,Imrich Bugár,CZE,14.04.55,Zaragoza,22.05.1983
147,14,69.0,Andrius Gudzius,LTU,14.02.91,Oslo,07.06.2018
148,14,68.99,Virgilijus Alekna,LTU,13.02.72,Tartu,11.06.2000
149,15,68.98,Imrich Bugár,CZE,14.04.55,Schwechat,18.06.1983
150,15,68.98,Virgilijus Alekna,LTU,13.02.72,Vilnius,12.07.2008
151,15,68.98,Daniel Ståhl,SWE,27.08.92,Stockholm,05.09.2021
152,15,68.97,Virgilijus Alekna,LTU,13.02.72,Tallinn,16.09.2005
153,15,68.97,Virgilijus Alekna,LTU,13.02.72,Bydgoszcz,10.06.2007
154,15,68.97,Daniel Ståhl,SWE,27.08.92,Norrköping,06.08.2022
155,15,68.96,Luis Mariano Delís,CUB,06.12.57,Rhede,01.09.1982
156,15,68.95,Kristjan Ceh,SLO,17.02.99,Eugene,19.07.2022
157,15,68.95,Kristjan Ceh,SLO,17.02.99,Ad-Dawhah,05.05.2023
158,15,68.94,Lars Riedel,GER,28.06.67,Wiesbaden,03.05.1997
159,15,68.94,Virgilijus Alekna,LTU,13.02.72,Berlin,01.09.2000
160,16,68.93,Dmitriy Shevchenko,RUS,13.05.68,Krasnodar,07.05.2002
161,16,68.92,Luis Mariano Delís,CUB,06.12.57,Bratislava,03.06.1983
162,16,68.92,Richard Bruch,SWE,02.07.46,Malmö,12.07.1984
163,16,68.92,Virgilijus Alekna,LTU,13.02.72,Hengelo,29.05.2005
164,16,68.91,Virgilijus Alekna,LTU,13.02.72,Villeneuve d,09.06.2012
165,16,68.9,Luis Mariano Delís,CUB,06.12.57,La Habana,08.08.1982
166,16,68.9,Mike Buncic,USA,25.07.62,Fresno,06.04.1991
167,16,68.88,Mac Wilkins,USA,15.11.50,Modesto,17.05.1980
168,16,68.88,Imrich Bugár,CZE,14.04.55,San José,25.05.1985
169,16,68.88,Virgilijus Alekna,LTU,13.02.72,Sheffield,21.08.2005
170,16,68.88,Virgilijus Alekna,LTU,13.02.72,Halle,19.05.2007
171,16,68.88,Robert Harting,GER,18.10.84,Neubrandenbu,28.08.2010
172,16,68.88,Daniel Ståhl,SWE,27.08.92,Sollentuna,29.06.2017
173,16,68.88,Daniel Ståhl,SWE,27.08.92,Karlstad,03.07.2019
174,17,68.86,Wolfgang Schmidt,GER,16.01.54,Stockholm,07.07.1981
175,17,68.86,Virgilijus Alekna,LTU,13.02.72,Kaunas,04.06.2004
176,17,68.86,Virgilijus Alekna,LTU,13.02.72,Halle,19.05.2007
177,17,68.84,Luis Mariano Delís,CUB,06.12.57,Modesto,15.05.1982
178,17,68.84,Luis Mariano Delís,CUB,06.12.57,La Habana,21.05.1983
179,17,68.84,Lars Riedel,GER,28.06.67,Stendal,30.08.1997
180,17,68.84,Gerd Kanter,EST,06.05.79,Osaka,28.08.2007
181,18,68.83,Fedrick Dacres,JAM,28.02.94,Rabat,16.06.2019
182,18,68.83,Daniel Ståhl,SWE,27.08.92,Bottnaryd,29.06.2019
183,18,68.82,Lars Riedel,GER,28.06.67,Stendal,30.08.1997
184,18,68.81,Virgilijus Alekna,LTU,13.02.72,Vilnius,10.06.2006
185,18,68.81,Fedrick Dacres,JAM,28.02.94,Stockholm,30.05.2019
186,18,68.8,Róbert Fazekas,HUN,18.08.75,Zürich,06.08.2004
187,18,68.79,Gerd Kanter,EST,06.05.79,Helsingborg,28.06.2007
188,18,68.79,Daniel Ståhl,SWE,27.08.92,Varberg,15.07.2019
189,19,68.78,Mac Wilkins,USA,15.11.50,Modesto,17.05.1980
190,19,68.78,Luis Mariano Delís,CUB,06.12.57,Rhede,01.09.1982
191,19,68.78,Romas Ubartas,LTU,26.05.60,Smalininkai,08.05.1988
192,19,68.78,Róbert Fazekas,HUN,18.08.75,Budapest,10.05.2003
193,19,68.78,Róbert Fazekas,HUN,18.08.75,Saint-Denis,26.08.2003
194,19,68.77,Virgilijus Alekna,LTU,13.02.72,Kaunas,01.07.2006
195,19,68.77,Piotr Malachowski,POL,07.06.83,Berlin,19.08.2009
196,19,68.76,Mac Wilkins,USA,15.11.50,Walnut,24.04.1976
197,19,68.76,Mac Wilkins,USA,15.11.50,Modesto,14.05.1983
198,19,68.76,Virgilijus Alekna,LTU,13.02.72,Réthymno,23.06.2004
199,19,68.76,Daniel Ståhl,SWE,27.08.92,Bottnaryd,29.06.2019
200,19,68.76,Kristjan Ceh,SLO,17.02.99,Roma,09.06.2022
201,20,68.75,Virgilijus Alekna,LTU,13.02.72,Saint-Denis,26.08.2003
202,20,68.74,Luis Mariano Delís,CUB,06.12.57,La Habana,21.05.1983
203,20,68.74,Richard Bruch,SWE,02.07.46,Malmö,12.09.1984
204,20,68.74,Lars Riedel,GER,28.06.67,Duisburg,12.06.1996
205,20,68.74,Gerd Kanter,EST,06.05.79,Chula Vista,06.05.2010
206,20,68.73,Virgilijus Alekna,LTU,13.02.72,Sydney,25.09.2000
207,20,68.73,Frantz Kruger,RSA,22.05.75,Salôn-de-Pro,26.05.2002
208,20,68.73,Kristjan Ceh,SLO,17.02.99,Ptuj,27.05.2021
209,21,68.72,Ian Waltz,USA,15.04.77,Salinas,24.05.2006
210,21,68.71,Fedrick Dacres,JAM,28.02.94,Rabat,16.06.2019
211,21,68.71,Kristjan Ceh,SLO,17.02.99,Roma,09.06.2022
212,21,68.69,Virgilijus Alekna,LTU,13.02.72,Lausanne,05.07.2005
213,21,68.68,Wolfgang Schmidt,GER,16.01.54,Warszawa,13.08.1978
214,21,68.68,Yuriy Dumchev,RUS,05.08.58,Bryansk,31.07.1988
215,21,68.68,Virgilijus Alekna,LTU,13.02.72,Zürich,11.08.2000
216,21,68.68,Gerd Kanter,EST,06.05.79,Tallinn,31.08.2008
217,21,68.67,Ehsan Hadadi,IRI,21.01.85,Chula Vista,12.04.2018
218,21,68.67,Daniel Ståhl,SWE,27.08.92,Norrköping,06.08.2022
219,22,68.66,Knut Hjeltnes,NOR,08.12.51,San José,25.05.1985
220,22,68.66,Robert Harting,GER,18.10.84,Halle,21.05.2011
221,22,68.65,Virgilijus Alekna,LTU,13.02.72,Vilnius,12.04.2006
222,22,68.65,Ehsan Hadadi,IRI,21.01.85,Berlin,01.06.2008
223,22,68.64,Mac Wilkins,USA,15.11.50,Westwood,11.06.1976
224,22,68.64,Al Oerter,USA,19.09.36,Scotch Plain,07.06.1981
225,22,68.64,Imrich Bugár,CZE,14.04.55,Cagliari,08.09.1984
226,22,68.64,Richard Bruch,SWE,02.07.46,Malmö,14.10.1984
227,22,68.64,Lars Riedel,GER,28.06.67,Monaco,25.07.1995
228,22,68.64,Lars Riedel,GER,28.06.67,Zürich,14.08.1996
229,22,68.64,Virgilijus Alekna,LTU,13.02.72,Berlin,01.09.2000
230,23,68.63,Kristjan Ceh,SLO,17.02.99,Maribor,23.06.2020
231,23,68.62,Georgiy Kolnootchen,BLR,07.05.59,Canberra,04.10.1985
232,23,68.62,Virgilijus Alekna,LTU,13.02.72,Kaunas,01.07.2006
233,23,68.62,Daniel Ståhl,SWE,27.08.92,Norrköping,18.05.2023
234,23,68.61,Virgilijus Alekna,LTU,13.02.72,Zürich,15.08.2003
235,23,68.61,Virgilijus Alekna,LTU,13.02.72,Réthymno,23.06.2004
236,23,68.6,Richard Bruch,SWE,02.07.46,Malmö,07.10.1984
237,23,68.6,Yuriy Dumchev,RUS,05.08.58,Bryansk,31.07.1988
238,23,68.6,Virgilijus Alekna,LTU,13.02.72,Madrid,16.07.2005
239,23,68.6,Gerd Kanter,EST,06.05.79,Salinas,03.05.2007
240,24,68.59,Daniel Ståhl,SWE,27.08.92,Malmö,26.06.2019
241,24,68.59,Daniel Ståhl,SWE,27.08.92,Bruxelles,01.09.2021
242,24,68.58,Ben Plucknett,USA,13.04.54,Salinas,01.06.1983
243,24,68.57,Róbert Fazekas,HUN,18.08.75,Zürich,15.08.2003
244,24,68.57,Virgilijus Alekna,LTU,13.02.72,Jurbarkas,30.09.2006
245,24,68.57,Gerd Kanter,EST,06.05.79,Tartu,05.07.2007
246,24,68.57,Daniel Ståhl,SWE,27.08.92,London,05.08.2017
247,24,68.57,Lukas Weißhaidinger,AUT,20.02.92,Rehlingen,20.05.2018
248,24,68.57,Daniel Ståhl,SWE,27.08.92,Stockholm,23.08.2020
249,25,68.56,Luis Mariano Delís,CUB,06.12.57,Koblenz,25.08.1982
