,0,1,2,3,4,5
201,,,Kathleen Trotter,(4:22.3),04.04.85,USA
202,,,Katie Hotchkiss,(4:32.2),17.12.80,USA
203,,,Sara Hall,(4:20.7),15.04.83,USA
204,,,Arianna Lambie,(4:11.7),12.06.85,USA
205,42.0,17:27.25,University of Wisconsin,7,Philadelphia,29.04.2023
206,,,Madison Mooney,,21.03.00,USA
207,,,Lucinda Crouch,,29.01.00,AUS
208,,,Victoria Heiligenthal,,02.11.01,USA
209,,,Emma Watcke,,03.06.00,USA
210,43.0,17:27.47,Stanford University,2,Philadelphia,28.04.2017
211,,,Rebecca Mehra,(4:32.6),25.10.94,USA
212,,,Malika Waschmann,(4:19.0),,USA
213,,,Christina Aragon,(4:22.5),17.06.97,USA
214,,,Elise Cranny,(4:13.4),09.05.96,USA
215,44.0,17:27.54,Stanford University,1,Philadelphia,24.04.2015
216,,,Rebecca Mehra,(4:23.0),25.10.94,USA
217,,,Jessica Tonn,(4:22.2),15.02.92,USA
218,,,Elise Cranny,(4:17.2),09.05.96,USA
219,,,Claudia Saunders,(4:25.1),19.05.94,USA
220,45.0,17:28.00,Villanova University,2,Philadelphia,28.04.2006
221,,,Akilah Vargas,(4:29.5),12.05.85,USA
222,,,Ioana Parusheva,(4:16.2),23.05.82,BUL
223,,,Frances Koons,(4:20.0),02.04.86,USA
224,,,Marina Muncán,(4:22.3),06.11.82,SRB
225,46.0,17:28.98,University of Michigan,1,Philadelphia,25.04.2008
226,,,Danielle Tauro,(4:25.1),22.12.88,USA
227,,,Toni-Lynn Salucci,(4:27.1),21.09.85,USA
228,,,Geena Gall,(4:18.3),18.01.87,USA
229,,,Nicole Edwards,(4:18.5),30.06.86,CAN
230,47.0,17:29.00,University of Oregon,1,Philadelphia,27.04.2012
231,,,Melanie Thompson,(4:32.5),18.04.91,USA
232,,,Alex Kosinski,(4:17.1),29.03.89,USA
233,,,Anne Kesselring,(4:16.3),04.12.89,GER
234,,,Becca Friday,(4:23.1),07.05.91,USA
235,48.0,17:29.12,University of Tennessee,2,Philadelphia,25.04.2008
236,,,Brittany Sheffey,(4:26.7),18.12.88,USA
237,,,Pheobe Wright,(4:24.3),30.08.88,USA
238,,,Rolanda Bell,(4:22.9),27.10.87,USA
239,,,Sarah Bowman,(4:15.2),15.10.86,USA
240,49.0,17:29.32,Villanova University,1,Philadelphia,25.04.1997
241,,,Carmen Douma,(4:27.0),12.03.77,CAN
242,,,Kristine Jost,(4:19.6),24.11.77,USA
243,,,Carrie Tollefson,(4:20.5),18.01.77,USA
244,,,Krestina Sullivan,(4:22.2),11.03.74,CAN
245,50.0,17:29.45,Brigham Young University,5,Philadelphia,30.04.2022
246,,,Kate Hunter,,27.08.99,USA
247,,,Carmen Alder,,06.03.03,ECU
248,,,Heather Hanson,,,USA
249,,,Sadie Sargent,,,USA
250,51.0,17:29.88,Ireland,1,Grangemouth,17.08.2006
251,,,Deirdre Byrne,(4:22.8),21.09.82,IRL
252,,,Roísín McGettigan,(4:27.1),23.08.80,IRL
253,,,Mary Cullen,(4:21.1),17.08.82,IRL
254,,,Aoife Bryne,(4:18.9),26.03.81,IRL
255,52.0,17:29.98,Nike/Bowerman TC - B,2,Portland,31.07.2020
256,,,Courtney Frerichs,,18.01.93,USA
257,,,Marielle Hall,,28.01.92,USA
258,,,Gwen Jorgensen,,25.04.86,USA
259,,,Emily Infeld,,21.03.90,USA
260,53.0,17:30.10,Villanova University,2,Philadelphia,26.04.1991
261,,,Nnenna Lynch,(4:21.5),03.07.71,USA
262,,,Carol Haux,(4:27.8),13.11.69,USA
263,,,Cheri Kenah,(4:24.3),26.12.70,USA
264,,,Sonia O'Sullivan,(4:16.5),28.11.69,IRL
265,54.0,17:30.22,University of North Carolina,2,Philadelphia,24.04.2015
266,,,Elizabeth Whelan,(4:24.0),05.10.93,CAN
267,,,Karley Rempel,(4:24.1),06.04.93,CAN
268,,,Lianne Farber,(4:22.0),12.06.92,USA
269,,,Annie LeHardy,(4:20.1),18.10.92,USA
270,55.0,17:30.38,Villanova University,1,Philadelphia,28.04.2000
271,,,Liz Awtrey,(4:26.3),04.03.81,USA
272,,,Carrie Tollefson,(4:16.8),18.01.77,USA
273,,,Kristen Nicolini,(4:26.1),21.09.77,USA
274,,,Carmen Douma,(4:21.2),12.03.77,CAN
